product_id,product_name,product_category,subcategory,brand_name,price,available_stock,rating,is_active,launch_date,discount_eligible,avg_shipping_cost,product_weight_kg
P1043,Noise Cancelling Headphones,electronics,camera,Zenith,399.81,562,4.16,yes,2023-06-05,no,16.67,2.59
P1044,Noise Cancelling Headphones,electronics,audio,Zenith,225.7,945,4.45,yes,2023-09-15,no,17.54,1.79
P1045,Lipstick Set,beauty,haircare,Zenith,74.34,211,2.04,yes,2023-12-18,yes,15.38,0.1
P1046,Stuffed Animal,toys,action_figures,Zenith,18.92,228,2.36,yes,2023-08-25,no,12.58,1.6
P1047,Portable Speaker,electronics,mobile,Natura,331.81,623,1.21,no,2024-10-20,yes,8.47,2.17
P1048,Hair Oil,beauty,haircare,Zenith,33.25,601,3.73,no,2023-11-11,yes,20.88,0.47
P1049,Shampoo Pack,beauty,skincare,Optima,12.68,347,1.35,yes,2024-03-08,no,12.67,0.95
P1050,Wooden Bookshelf,home_decor,storage,Verve,169.7,669,3.24,no,2023-03-17,no,22.15,2.35
P1051,Casual Dress,fashion,women_dresses,PlaySphere,76.22,432,1.99,yes,2024-09-14,yes,7.78,0.6
P1052,Storage Rack,home_decor,furniture,Natura,89.31,196,1.6,yes,2024-04-05,yes,8.13,3.88
P1053,Smartphone,electronics,camera,Zenith,143.52,330,1.53,yes,2024-08-28,no,17.5,2.38
P1054,Fruit Juice,groceries,household,Nova,34.64,460,2.7,yes,2024-10-16,yes,7.22,0.81
P1055,Wooden Bookshelf,home_decor,storage,GlowCo,130.99,417,4.42,yes,2025-01-10,no,4.67,4.13
P1056,Wireless Mouse,electronics,laptop,GlowCo,216.49,414,2.12,yes,2024-12-28,yes,22.29,1.78
P1057,Organic Oats,groceries,snacks,Natura,29.14,374,3.18,yes,2024-05-15,yes,24.12,1.8
P1058,Casual Dress,fashion,women_dresses,Acme,38.28,494,2.18,yes,2023-07-31,yes,3.1,0.23
P1059,Energy Drink,groceries,household,Zenith,4.74,959,1.79,yes,2024-04-11,no,1.43,1.99
P1060,Wall Art Frame,home_decor,storage,Optima,180.26,496,4.96,yes,2023-01-01,no,6.61,4.46
P1061,Moisturizer,beauty,makeup,Nova,34.52,156,2.55,yes,2023-04-27,yes,20.99,0.53
P1062,LED Desk Lamp,home_decor,furniture,GlowCo,95.82,18,2.0,no,2024-01-26,no,10.91,4.03
P1063,Smartphone,electronics,mobile,Natura,316.63,861,3.27,yes,2024-04-29,yes,0.59,0.57
P1064,Portable Speaker,electronics,camera,Verve,117.34,976,2.85,yes,2023-11-21,no,10.59,1.38
P1065,Lego Set,toys,educational,Nova,94.55,773,4.32,yes,2023-04-14,yes,11.23,0.34
P1066,Wooden Bookshelf,home_decor,storage,Verve,87.43,522,1.54,yes,2023-04-02,yes,5.35,4.03
P1067,Denim Jeans,fashion,footwear,PixelHaus,46.55,912,4.24,yes,2024-09-29,no,6.58,0.25
P1068,Lipstick Set,beauty,skincare,PixelHaus,20.12,838,1.68,yes,2023-08-06,no,17.25,0.78
P1069,Decorative Vase,home_decor,lighting,Verve,65.93,124,3.46,yes,2023-08-12,no,13.41,2.21
P1070,Cotton Shirt,fashion,footwear,PixelHaus,116.96,800,1.82,no,2025-01-17,yes,9.69,0.94
P1071,Stuffed Animal,toys,educational,Acme,76.07,311,4.44,yes,2023-09-06,yes,5.55,1.73
P1072,Storage Rack,home_decor,lighting,UrbanEdge,98.28,94,3.01,yes,2024-01-12,no,23.67,2.79
P1073,Casual Dress,fashion,footwear,PlaySphere,21.51,613,1.47,yes,2024-08-30,no,7.56,0.61
P1074,Portable Speaker,electronics,camera,Natura,191.93,135,3.82,yes,2023-09-05,no,6.63,0.51
P1075,Denim Jeans,fashion,footwear,PlaySphere,43.2,966,2.59,yes,2024-10-12,no,2.43,0.74
P1076,Dish Soap,groceries,beverages,PixelHaus,9.62,27,2.84,yes,2024-08-30,no,20.39,2.85
P1077,Wireless Mouse,electronics,camera,Nova,232.68,466,3.56,yes,2023-10-28,no,9.93,2.46
P1078,Lego Set,toys,educational,Acme,57.79,22,3.39,yes,2024-01-22,yes,23.91,1.75
P1079,Wall Art Frame,home_decor,storage,PlaySphere,173.8,779,1.2,yes,2024-06-28,yes,15.05,2.03
P1080,Lego Set,toys,puzzles,Nova,44.91,303,1.37,yes,2023-04-20,yes,19.49,1.57
P1081,Lego Set,toys,educational,Optima,25.61,229,1.45,yes,2023-12-18,yes,8.44,1.49
P1082,Organic Oats,groceries,beverages,Acme,35.18,117,3.71,yes,2024-03-05,no,17.76,0.48
P1083,LED Desk Lamp,home_decor,storage,PlaySphere,103.08,739,4.05,yes,2023-08-07,no,16.82,1.06
P1084,Energy Drink,groceries,beverages,Zenith,27.74,235,2.8,yes,2024-09-15,no,7.31,2.63
P1085,Wireless Mouse,electronics,laptop,PlaySphere,306.38,63,2.67,yes,2023-07-11,yes,7.04,1.63
P1086,Wall Art Frame,home_decor,storage,Optima,88.85,324,4.38,yes,2023-08-24,no,3.06,2.56
P1087,Casual Dress,fashion,men_shirts,PixelHaus,80.28,730,3.49,yes,2023-11-16,no,12.32,0.6
P1088,Wireless Mouse,electronics,laptop,Optima,448.29,227,2.58,yes,2024-11-19,no,3.7,1.25
P1089,Decorative Vase,home_decor,furniture,Acme,142.1,891,2.89,yes,2023-08-10,yes,4.43,1.24
P1090,Decorative Vase,home_decor,lighting,Acme,84.23,349,4.47,yes,2024-03-03,no,18.2,3.75
P1091,Organic Oats,groceries,beverages,Acme,2.65,874,3.11,yes,2024-05-23,no,10.99,2.5
P1092,Dish Soap,groceries,snacks,Verve,30.76,585,3.43,yes,2023-01-17,yes,12.1,1.5
P1093,Portable Speaker,electronics,audio,Natura,315.12,402,1.18,yes,2023-07-02,no,3.03,2.8
P1094,Action Figure,toys,action_figures,PlaySphere,74.3,669,1.34,no,2024-04-28,yes,1.58,1.83
P1095,Denim Jeans,fashion,women_dresses,Nova,45.71,53,4.22,yes,2023-06-09,no,21.87,0.85
P1096,Wall Art Frame,home_decor,storage,Verve,122.47,15,2.18,yes,2025-01-01,yes,6.84,4.3
P1097,Wireless Mouse,electronics,laptop,Zenith,102.45,282,1.0,yes,2023-12-27,yes,15.88,1.68
P1098,Lipstick Set,beauty,haircare,PlaySphere,79.35,925,1.26,yes,2024-11-11,yes,13.6,0.51
P1099,Smartphone,electronics,camera,PixelHaus,455.45,869,3.15,yes,2024-04-09,no,13.87,1.66
P1100,Fruit Juice,groceries,snacks,Acme,5.23,794,3.06,yes,2023-07-13,no,12.23,0.9
P1101,Wireless Mouse,electronics,mobile,Nova,493.53,273,2.75,yes,2024-12-06,no,15.19,2.86
P1102,Denim Jeans,fashion,men_shirts,PlaySphere,50.48,599,1.31,yes,2023-08-27,yes,3.13,0.55
P1103,Noise Cancelling Headphones,electronics,camera,Acme,321.59,755,1.19,no,2023-04-20,yes,12.1,2.38
P1104,Shampoo Pack,beauty,skincare,PlaySphere,21.63,807,3.29,yes,2024-06-14,yes,21.48,0.86
P1105,Portable Speaker,electronics,laptop,GlowCo,216.78,375,4.11,yes,2024-02-27,yes,15.44,2.88
P1106,Rubik's Cube,toys,educational,Optima,84.66,522,1.34,yes,2023-03-05,no,16.47,1.1
P1107,Dish Soap,groceries,household,Zenith,20.33,159,3.87,yes,2024-08-15,yes,6.71,0.84
P1108,Wall Art Frame,home_decor,storage,Nova,66.32,696,2.75,yes,2024-02-01,no,7.83,4.56
P1109,LED Desk Lamp,home_decor,storage,PlaySphere,137.62,476,3.87,yes,2023-06-25,yes,3.66,2.46
P1110,Leather Jacket,fashion,men_shirts,UrbanEdge,140.57,877,2.57,yes,2024-12-25,yes,6.34,0.35
P1111,Bluetooth Earbuds,electronics,laptop,GlowCo,112.8,709,2.71,yes,2024-10-23,no,11.57,2.07
P1112,Moisturizer,beauty,makeup,Nova,13.98,863,2.05,no,2023-09-19,yes,14.1,0.2
P1113,Board Game,toys,puzzles,Natura,89.6,347,2.24,yes,2025-01-27,no,21.09,0.65
P1114,Leather Jacket,fashion,men_shirts,Optima,149.14,875,2.94,yes,2024-03-28,no,21.75,0.59
P1115,Stuffed Animal,toys,puzzles,Verve,26.52,308,4.46,yes,2023-12-15,yes,24.08,0.85
P1116,Storage Rack,home_decor,storage,Acme,126.44,489,2.98,yes,2023-06-10,no,16.5,1.45
P1117,Moisturizer,beauty,skincare,Verve,13.48,247,1.42,yes,2023-05-18,no,24.5,0.39
P1118,Lipstick Set,beauty,skincare,PixelHaus,10.35,232,1.14,yes,2024-07-17,no,0.5,0.46
P1119,Rubik's Cube,toys,puzzles,Acme,15.71,937,1.91,yes,2024-01-10,yes,3.03,1.71
P1120,Casual Dress,fashion,women_dresses,UrbanEdge,28.62,389,3.82,yes,2025-02-07,yes,21.32,0.27
P1121,Storage Rack,home_decor,furniture,Verve,61.26,891,4.25,yes,2024-11-02,yes,13.62,2.37
P1122,Leather Jacket,fashion,women_dresses,GlowCo,148.36,81,3.73,no,2024-10-17,yes,9.53,0.58
P1123,Organic Oats,groceries,household,Acme,37.43,628,1.91,yes,2023-03-30,no,10.63,1.45
P1124,Instant Coffee,groceries,snacks,Zenith,8.08,357,2.09,yes,2023-06-13,yes,14.02,2.87
P1125,Action Figure,toys,action_figures,PlaySphere,19.71,839,1.3,yes,2024-03-11,yes,20.48,1.04
P1126,Storage Rack,home_decor,lighting,Zenith,122.82,625,1.38,yes,2024-03-04,yes,4.44,4.03
P1127,Lego Set,toys,educational,UrbanEdge,48.19,54,3.01,yes,2024-01-26,no,9.48,0.44
P1128,Hair Oil,beauty,haircare,Nova,10.36,767,2.93,yes,2025-02-27,yes,24.41,0.64
P1129,Formal Shoes,fashion,men_shirts,PlaySphere,111.07,240,2.4,yes,2024-05-25,yes,9.28,0.62
P1130,Fruit Juice,groceries,beverages,PixelHaus,4.3,868,3.25,yes,2024-10-13,no,8.13,2.78
P1131,Leather Jacket,fashion,footwear,UrbanEdge,143.74,95,4.69,yes,2024-01-26,yes,11.06,0.38
P1132,Energy Drink,groceries,beverages,Zenith,19.09,578,2.47,yes,2024-07-08,no,0.84,0.51
P1133,Decorative Vase,home_decor,furniture,UrbanEdge,121.1,21,1.41,no,2023-05-10,yes,12.89,4.77
P1134,Energy Drink,groceries,beverages,Verve,23.17,396,1.48,yes,2023-01-21,no,5.95,0.74
P1135,Leather Jacket,fashion,footwear,GlowCo,115.23,644,3.02,yes,2023-06-07,yes,5.63,0.77
P1136,Board Game,toys,puzzles,GlowCo,50.46,254,1.97,yes,2025-01-24,no,2.9,0.83
P1137,Bluetooth Earbuds,electronics,mobile,Nova,376.97,121,4.62,yes,2024-01-13,yes,8.78,2.85
P1138,Moisturizer,beauty,makeup,Optima,10.24,275,2.07,yes,2025-02-07,no,21.02,0.23
P1139,Rubik's Cube,toys,action_figures,PixelHaus,97.65,788,3.04,yes,2023-12-10,yes,4.55,0.87
P1140,Decorative Vase,home_decor,lighting,Verve,192.6,836,4.74,yes,2024-11-04,yes,12.67,4.39
P1141,Noise Cancelling Headphones,electronics,audio,Natura,393.68,788,1.95,yes,2024-02-17,yes,23.97,2.2
P1142,Wall Art Frame,home_decor,furniture,UrbanEdge,115.49,47,3.12,yes,2023-06-11,no,2.84,1.01
P1143,Stuffed Animal,toys,educational,Zenith,79.7,906,3.28,yes,2025-01-27,no,16.9,1.81
P1144,Fruit Juice,groceries,household,PlaySphere,28.47,570,4.39,yes,2024-08-06,yes,21.53,2.47
P1145,Casual Dress,fashion,footwear,Verve,32.36,536,4.84,yes,2024-08-17,yes,6.92,0.72
P1146,Cotton Shirt,fashion,women_dresses,Nova,28.48,841,3.01,yes,2023-03-07,no,4.47,0.47
P1147,Energy Drink,groceries,beverages,Acme,48.99,40,1.3,yes,2023-06-17,no,18.69,2.72
P1148,Organic Oats,groceries,snacks,Nova,14.95,214,3.71,no,2023-06-03,yes,18.94,2.9
P1149,Hair Oil,beauty,makeup,Nova,38.26,61,2.62,yes,2023-05-28,no,14.78,0.89
P1150,Leather Jacket,fashion,men_shirts,PlaySphere,34.58,963,4.43,yes,2023-07-02,yes,15.16,0.94
P1151,Rubik's Cube,toys,puzzles,GlowCo,54.38,548,4.64,yes,2024-01-06,yes,14.72,1.72
P1152,Hair Oil,beauty,haircare,UrbanEdge,27.25,682,1.91,yes,2024-07-14,yes,9.64,0.85
P1153,Smartphone,electronics,laptop,Optima,347.53,584,1.28,yes,2024-10-17,yes,16.88,0.54
P1154,Shampoo Pack,beauty,haircare,Zenith,60.49,674,4.76,yes,2024-09-03,yes,4.86,0.45
P1155,Lego Set,toys,action_figures,PlaySphere,14.49,107,3.3,yes,2023-03-03,yes,20.96,0.3
P1156,Lipstick Set,beauty,haircare,Verve,25.41,545,4.67,yes,2024-06-23,yes,5.09,0.96
P1157,Decorative Vase,home_decor,lighting,PlaySphere,63.41,73,2.29,no,2024-11-14,no,22.15,1.83
P1158,LED Desk Lamp,home_decor,lighting,GlowCo,169.46,512,4.57,yes,2024-12-16,no,20.71,4.09
P1159,Stuffed Animal,toys,educational,Verve,89.03,138,3.72,yes,2023-02-27,no,4.56,0.33
P1160,Fruit Juice,groceries,household,Natura,4.18,657,1.82,yes,2024-09-11,yes,17.87,1.33
P1161,Wall Art Frame,home_decor,storage,PlaySphere,38.79,505,2.43,yes,2024-11-01,yes,23.76,4.48
P1162,Storage Rack,home_decor,furniture,Acme,89.69,796,2.74,yes,2023-02-09,yes,6.36,2.32
P1163,Decorative Vase,home_decor,storage,PlaySphere,72.35,98,3.89,yes,2023-12-02,yes,19.27,2.25
P1164,Board Game,toys,puzzles,Optima,22.92,742,2.85,no,2023-10-08,yes,21.19,1.83
P1165,Stuffed Animal,toys,educational,Optima,16.81,583,1.77,yes,2023-02-07,no,10.24,1.71
P1166,Instant Coffee,groceries,household,Verve,11.13,977,4.65,yes,2024-05-26,yes,4.82,1.47
P1167,Energy Drink,groceries,beverages,Verve,8.58,499,3.81,no,2023-06-03,yes,1.86,2.03
P1168,Face Serum,beauty,skincare,Nova,54.79,654,2.33,yes,2024-03-30,yes,23.21,0.47
P1169,Instant Coffee,groceries,household,Verve,36.09,422,3.03,yes,2024-10-02,yes,11.4,2.83
P1170,Organic Oats,groceries,household,Verve,45.25,432,3.77,yes,2023-02-14,no,20.51,2.12
P1171,Stuffed Animal,toys,action_figures,Zenith,44.09,791,3.16,yes,2024-12-10,no,23.71,1.94
P1172,Lego Set,toys,action_figures,Acme,92.1,219,2.19,yes,2024-01-29,yes,0.75,0.99
P1173,Denim Jeans,fashion,women_dresses,UrbanEdge,138.52,44,1.55,yes,2024-07-11,yes,14.28,0.74
P1174,Wall Art Frame,home_decor,furniture,Nova,136.57,164,4.51,yes,2024-06-18,no,4.82,3.07
P1175,Storage Rack,home_decor,storage,PlaySphere,109.57,389,2.8,yes,2024-07-01,no,18.35,1.97
P1176,Moisturizer,beauty,makeup,PixelHaus,49.21,508,4.92,yes,2024-01-22,no,2.43,0.22
P1177,Portable Speaker,electronics,laptop,Acme,116.69,177,3.8,yes,2024-03-05,no,0.16,1.97
P1178,Casual Dress,fashion,footwear,Verve,27.77,399,2.73,yes,2024-11-23,yes,9.99,0.24
P1179,Storage Rack,home_decor,furniture,UrbanEdge,138.36,332,1.45,yes,2023-03-16,yes,19.8,3.72
P1180,Formal Shoes,fashion,footwear,Nova,109.39,612,3.34,yes,2024-05-19,no,22.4,0.56
P1181,Stuffed Animal,toys,action_figures,Natura,80.3,712,3.19,yes,2024-12-12,yes,17.14,0.93
P1182,Shampoo Pack,beauty,haircare,PixelHaus,13.04,327,4.93,yes,2024-02-13,no,7.7,0.5
P1183,Cotton Shirt,fashion,women_dresses,Acme,86.5,883,2.32,yes,2023-09-07,yes,23.45,0.63
P1184,Moisturizer,beauty,skincare,Natura,46.03,970,4.19,yes,2023-11-22,no,4.29,0.66
P1185,Portable Speaker,electronics,audio,Zenith,414.83,130,2.7,yes,2024-05-15,yes,3.21,0.5
P1186,Smartphone,electronics,mobile,Verve,390.02,713,4.8,yes,2024-09-15,no,3.91,2.76
P1187,Lego Set,toys,educational,Nova,40.59,444,4.34,yes,2024-06-25,no,23.73,1.83
P1188,Lego Set,toys,action_figures,Optima,96.92,45,1.17,yes,2023-09-25,yes,0.86,1.36
P1189,Smartphone,electronics,mobile,Verve,407.16,777,2.94,yes,2025-02-15,yes,9.35,2.38
P1190,Moisturizer,beauty,skincare,Acme,44.14,436,2.8,no,2023-05-19,no,17.58,0.19
P1191,Moisturizer,beauty,skincare,PlaySphere,11.76,908,1.08,yes,2024-06-02,no,17.92,0.15
P1192,Wooden Bookshelf,home_decor,storage,Nova,109.68,187,1.98,no,2024-06-30,yes,5.88,4.33
P1193,Portable Speaker,electronics,audio,PlaySphere,272.55,654,4.35,yes,2023-12-20,no,14.26,1.39
P1194,Noise Cancelling Headphones,electronics,laptop,PixelHaus,366.75,70,2.09,yes,2024-05-06,no,9.04,2.85
P1195,Face Serum,beauty,makeup,Verve,38.68,400,4.29,yes,2024-04-20,no,24.73,0.41
P1196,Stuffed Animal,toys,educational,UrbanEdge,71.66,128,3.13,yes,2023-06-07,no,22.33,1.64
P1197,Noise Cancelling Headphones,electronics,camera,Natura,433.14,380,2.48,yes,2023-05-21,yes,19.63,2.39
P1198,Smartphone,electronics,laptop,PixelHaus,214.48,822,3.12,yes,2024-09-22,yes,18.17,2.79
P1199,Lipstick Set,beauty,makeup,PlaySphere,44.67,727,3.46,no,2024-05-01,no,23.43,0.58
P1200,Lego Set,toys,action_figures,Acme,27.58,85,4.82,yes,2025-02-11,yes,10.74,1.7
P1201,Noise Cancelling Headphones,electronics,mobile,Zenith,300.87,935,4.15,yes,2023-10-17,yes,0.03,2.75
P1202,Stuffed Animal,toys,action_figures,PixelHaus,19.48,890,2.23,yes,2024-08-17,yes,19.19,1.32
P1203,Energy Drink,groceries,snacks,Optima,25.85,693,3.24,yes,2023-11-11,no,4.04,2.26
P1204,Decorative Vase,home_decor,lighting,Acme,168.92,436,3.54,yes,2024-02-16,yes,0.49,3.81
P1205,LED Desk Lamp,home_decor,storage,Verve,117.68,498,1.08,yes,2025-01-24,yes,16.6,4.0
P1206,Stuffed Animal,toys,educational,Zenith,37.27,477,2.86,yes,2024-06-28,yes,13.49,1.45
P1207,Action Figure,toys,puzzles,Zenith,96.47,348,2.82,yes,2024-06-07,yes,7.1,1.1
P1208,Board Game,toys,educational,Verve,24.24,691,1.47,yes,2024-11-11,no,21.68,0.84
P1209,Smartphone,electronics,camera,Natura,372.73,343,1.54,yes,2024-07-15,yes,3.23,1.63
P1210,Cotton Shirt,fashion,footwear,Acme,130.8,34,1.76,yes,2023-09-05,yes,24.83,0.79
P1211,Board Game,toys,puzzles,PixelHaus,14.27,528,3.93,yes,2023-09-19,no,9.96,1.19
P1212,Storage Rack,home_decor,storage,UrbanEdge,91.84,634,3.99,yes,2024-05-16,yes,5.97,4.64
P1213,Storage Rack,home_decor,storage,Natura,113.67,616,2.9,yes,2023-01-25,yes,16.72,2.01
P1214,Energy Drink,groceries,household,Acme,2.25,100,4.94,no,2023-06-23,yes,0.39,0.55
P1215,Leather Jacket,fashion,women_dresses,PixelHaus,139.72,90,1.96,yes,2023-10-22,yes,21.57,0.32
P1216,Board Game,toys,action_figures,Optima,75.13,956,3.87,yes,2024-04-27,no,5.25,1.55
P1217,Shampoo Pack,beauty,makeup,GlowCo,78.76,672,2.06,yes,2025-02-25,no,10.87,0.67
P1218,Energy Drink,groceries,beverages,PlaySphere,26.01,850,3.77,yes,2024-04-05,no,1.02,1.07
P1219,Action Figure,toys,action_figures,Acme,38.62,939,4.62,yes,2023-10-04,no,16.24,0.68
P1220,Stuffed Animal,toys,action_figures,UrbanEdge,80.5,589,1.56,yes,2024-09-10,yes,15.67,0.48
P1221,Portable Speaker,electronics,mobile,Natura,399.42,603,4.53,yes,2023-04-28,no,11.92,0.98
P1222,Portable Speaker,electronics,mobile,Natura,108.34,265,3.47,yes,2023-11-05,no,6.57,1.02
P1223,Fruit Juice,groceries,beverages,GlowCo,7.61,742,2.63,yes,2023-05-26,no,23.62,0.41
P1224,Wall Art Frame,home_decor,lighting,Optima,152.62,964,4.37,yes,2023-05-21,yes,15.65,3.06
P1225,Denim Jeans,fashion,men_shirts,PlaySphere,65.29,416,2.0,yes,2024-09-20,yes,4.61,0.57
P1226,Noise Cancelling Headphones,electronics,mobile,Natura,374.38,717,2.2,yes,2024-02-14,yes,8.46,2.99
P1227,Wireless Mouse,electronics,laptop,Verve,216.28,953,1.94,yes,2023-08-15,no,15.37,1.39
P1228,Energy Drink,groceries,beverages,UrbanEdge,36.23,412,4.55,yes,2024-06-12,no,17.48,2.29
P1229,Wireless Mouse,electronics,mobile,Acme,471.26,957,1.74,yes,2024-07-03,yes,7.08,1.36
P1230,Portable Speaker,electronics,laptop,Nova,208.14,237,2.73,no,2024-09-08,no,8.26,2.25
P1231,Lipstick Set,beauty,makeup,Zenith,56.19,75,3.64,yes,2023-07-26,no,21.83,0.47
P1232,Lipstick Set,beauty,haircare,PixelHaus,62.2,599,2.87,yes,2024-08-21,yes,7.49,0.76
P1233,Denim Jeans,fashion,footwear,PixelHaus,21.34,34,1.41,yes,2023-06-10,yes,4.09,0.23
P1234,Smartphone,electronics,laptop,GlowCo,407.02,815,3.32,yes,2024-04-01,no,21.67,2.76
P1235,Leather Jacket,fashion,women_dresses,Acme,121.0,525,2.06,yes,2023-05-08,no,22.15,0.24
P1236,Rubik's Cube,toys,action_figures,PlaySphere,78.98,357,3.44,yes,2024-05-18,no,21.11,0.32
P1237,Leather Jacket,fashion,women_dresses,Nova,82.66,664,2.99,yes,2023-12-16,yes,16.17,0.9
P1238,Rubik's Cube,toys,puzzles,Natura,38.69,701,3.28,yes,2024-11-18,yes,24.43,0.2
P1239,Storage Rack,home_decor,storage,Optima,136.49,262,4.66,yes,2023-03-05,no,22.51,3.64
P1240,Wall Art Frame,home_decor,storage,Acme,30.65,10,4.3,yes,2024-01-17,yes,21.44,3.25
P1241,LED Desk Lamp,home_decor,storage,Natura,160.94,513,3.74,no,2023-08-29,yes,14.19,2.14
P1242,Wireless Mouse,electronics,audio,PixelHaus,260.27,295,4.53,yes,2024-03-01,no,7.06,0.73
P1243,Dish Soap,groceries,snacks,Nova,27.65,272,4.65,yes,2023-02-10,no,13.38,1.7
P1244,Fruit Juice,groceries,household,Nova,43.93,32,4.84,yes,2025-02-07,no,3.76,1.41
P1245,Action Figure,toys,puzzles,UrbanEdge,72.35,108,3.9,yes,2023-12-15,yes,6.87,1.22
P1246,Casual Dress,fashion,footwear,Zenith,110.91,259,4.2,yes,2023-12-07,yes,7.88,0.42
P1247,Formal Shoes,fashion,men_shirts,Verve,63.48,957,4.9,no,2024-01-17,no,6.45,0.92
P1248,Fruit Juice,groceries,household,UrbanEdge,35.52,989,4.2,yes,2023-12-17,yes,18.73,1.53
